Song name,Week,Points,12,10,8,7,6,5,4,3,2,1,# of voters,Avg points,Weekly rank,Result,bonusPoints
"Splintertongue v3 [SSC7, USA]",Group B,39,0,0,0,1,2,1,1,2,0,0,7,"4,86",28,Track save week,0
"Inferno [SSC7, Sweden]",Group B,36,1,0,1,1,0,0,0,0,0,1,4,"7,00",29,Track save week,0
"Ninguna Guerra Más [SSC7, Spain]",Group B,35,1,0,0,0,0,2,1,3,0,0,7,"5,00",30,Track save week,0
"Sayonara [SSC7, Czechia]",Group B,27,0,1,0,1,0,0,1,0,2,2,7,"3,86",31,Track save week,0
"Peace & A Playlist (Emotionless) [SSC7, USA]",Group B,24,0,0,0,0,1,1,2,1,0,2,7,"3,43",32,Track save week,0
"Gifting the Severed [SSC7, USA]",Group B,19,0,1,0,0,0,0,2,0,0,1,4,"4,75",33,Track save week,0
"Abscond [SSC7, Germany]",Group B,17,0,0,1,1,0,0,0,0,0,2,4,"4,25",34,Track save week,0
"Riptide [SSC7,  Australia]",Group B,16,0,1,0,0,0,1,0,0,0,1,3,"5,33",35,Track save week,0
"Voices of silence [SSC7, Brazil]",Group B,16,1,0,0,0,0,0,1,0,0,0,2,"8,00",35,Track save week,0
"Sand [SSC7, USA]",Group B,16,0,0,0,0,0,1,2,1,0,0,4,"4,00",35,Track save week,0
"The Final Act in Black [SSC7, India]",Group B,12,1,0,0,0,0,0,0,0,0,0,1,"12,00",38,Track save week,0
"Summer Days [SSC7, USA]",Group C,146,2,4,3,3,3,1,1,2,1,0,20,"7,20",1,Showcase,0
"The Boy I Left Behind [SSC7, Germany]",Group C,109,2,1,3,0,1,4,4,1,2,2,20,"5,45",2,Showcase,0
"afterGLOW [SSC7, Australia]",Group C,107,5,3,0,0,1,1,1,0,1,0,12,"8,92",3,Showcase,0
"Void [SSC7, Italy]",Group C,100,4,1,1,1,0,2,2,0,1,1,13,"7,23",4,Showcase,0
"Clean or Dirty? [SSC7, USA]",Group C,96,2,3,1,2,2,0,1,1,0,1,13,"7,38",5,Showcase,0
"Blue Magic [SSC7, Sweden]",Group C,94,0,3,3,0,1,3,1,0,1,1,13,"6,31",6,Showcase,0
"Just Around the Corner [SSC7, Belgium]",Group C,88,2,1,2,1,1,1,0,2,1,2,13,"6,00",7,Showcase,0
"Goosebump Dancefloor 3:25 [SSC7, Mongolia]",Group C,82,2,2,2,0,0,1,3,1,1,0,12,"6,83",8,Showcase,0
"Nobody Believes in Believers Anymore [SSC7, USA]",Group C,82,3,1,0,1,2,0,3,1,1,0,12,"6,83",8,Showcase,0
"love you Puffs✨  [SSC7, Taiwan]",Group C,77,1,2,1,1,2,2,1,1,0,1,12,"6,42",10,Showcase,0
"Strangers [SSC7, Brazil]",Group C,71,0,0,4,1,1,0,3,1,3,2,15,"4,53",11,Showcase,0
"Summer (Vocal Drum and Bass) [SSC7, UK]",Group C,69,1,0,0,0,3,4,1,4,1,1,15,"4,60",12,Showcase,0
"Muddy Eyes [SSC7, Italy]",Group C,66,1,0,2,4,0,0,0,1,3,1,12,"5,50",13,Showcase,0
"Once More [SSC7, Germany]",Group C,66,0,3,0,0,2,2,0,3,2,1,13,"5,08",13,Showcase,0
"Marrowborne Pilots [SSC7, Japan]",Group C,60,2,1,2,0,0,1,0,1,0,1,8,"7,38",15,Showcase,0
"Miracle [SSC7, Taiwan]",Group C,56,1,1,2,1,0,0,1,2,0,1,9,"6,22",16,Showcase,0
"CLAPBACK [SSC7, USA]",Group C,56,1,1,1,1,1,2,0,1,0,0,8,"7,00",16,Showcase,0
GASOLINE [SSC7-Brazil],Group C,56,2,0,1,1,1,0,0,2,2,1,10,"5,60",16,Showcase,0
"幻灭 [SSC7, China]",Group C,52,1,0,0,4,1,1,0,0,0,1,8,"6,50",19,Showcase,0
"Rhythm of Us [SSC7, Germany]",Group C,52,1,1,0,1,0,0,1,2,2,2,10,"4,50",19,Showcase,0
"おばちゃん、教えて [SSC7, Japan]",Group C,50,0,2,2,1,1,0,0,0,0,1,7,"7,14",21,Track save week,0
"Sudden Weather [SSC7, Sweden]",Group C,47,0,1,0,1,1,2,3,0,1,0,9,"5,22",22,Track save week,0
"Guilty For You [SSC7, United States]",Group C,41,1,0,1,0,0,1,2,0,1,2,8,"4,63",23,Track save week,0
"Der Wrap- Rap - 2025 immer noch lecker Edit [SSC7, Germany]",Group C,40,1,0,0,2,1,0,0,1,2,1,8,"5,00",24,Track save week,0
"My Lost Angel [SSC7, Russia]",Group C,40,0,0,1,2,0,2,0,2,1,0,8,"5,00",24,Track save week,0
"Beyond the Corridor of Ice[SSC7,Japan]",Group C,40,1,1,1,0,0,0,0,2,2,0,7,"5,71",24,Track save week,0
"Where We Begin [SSC7, Japan]",Group C,39,0,1,1,1,0,1,1,1,1,0,7,"5,57",27,Track save week,0
"Scars Like Constellations [SSC7, USA]",Group C,38,0,1,0,3,1,0,0,0,0,1,6,"6,33",28,Track save week,0
"Radio Static [SSC7, Finland]",Group C,38,0,1,0,0,3,1,1,0,0,1,7,"5,43",28,Track save week,0
"怒血溅长街[SSC7, China]  (Angry blood on the street)",Group C,35,0,0,1,1,1,1,1,0,1,3,9,"3,89",30,Track save week,0
"Forgotten [SSC7, South Africa]",Group C,32,0,1,1,0,0,0,2,2,0,0,6,"5,33",31,Track save week,0
"The Fall of Elenra [SSC7, Czechia]",Group C,31,1,0,0,0,1,0,1,1,2,2,8,"3,88",32,Track save week,0
"Big Battle [SSC7, Norway]",Group C,31,0,0,0,1,3,1,0,0,0,1,6,"5,17",32,Track save week,0
"froghollow [SSC7, USA]",Group C,30,0,0,0,2,2,0,1,0,0,0,5,"6,00",34,Track save week,0
"The Good Kid [SSC7, Spain]",Group C,27,0,1,0,0,0,1,1,1,2,1,7,"3,86",35,Track save week,0
"Another Day, Another Dollar [SSC7, Philippines]",Group C,26,0,0,0,1,0,2,0,0,1,2,6,"3,50",36,Track save week,0
"Body Chemistry [SSC7, Australia]",Group C,24,0,0,1,0,0,0,1,0,1,2,5,"3,20",37,Track save week,0
"Rest In Peace ! [SSC7, Brazil]",Group C,10,0,0,0,0,1,0,0,1,0,1,3,"3,33",38,Track save week,0
"Arise, O Knights! [SSC7, France]",Group C,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",39,Track save week,0
"Cold and Coming Down [SSC7, Brazil]",Group C#,122,4,2,0,4,0,4,1,0,0,2,17,"7,18",1,Showcase,0
"Queen of the Crows [SSC7, Hungary]",Group C#,122,3,0,2,4,1,4,3,0,2,0,19,"6,42",1,Showcase,0
"What if i fall [SSC7, France]",Group C#,114,0,2,5,1,3,3,1,3,0,1,19,"6,00",3,Showcase,0
"Hit The Target [SSC7, Italy]",Group C#,108,1,2,2,3,2,3,1,2,1,0,17,"6,35",4,Showcase,0
"Evil, Dark, Grotesque [SSC7, Netherlands]",Group C#,99,2,3,1,1,1,1,2,2,2,1,16,"6,19",5,Showcase,0
"Firefly [SSC7, USA]",Group C#,96,2,0,1,3,0,2,7,1,1,0,17,"5,65",6,Showcase,0
"Imposter [SSC7, USA]",Group C#,93,3,2,1,1,0,1,1,2,3,1,15,"6,20",7,Showcase,0
"Something's gotta go right (Live Concert) [SSC7, Spain]",Group C#,87,0,2,4,1,3,0,1,2,0,0,13,"6,69",8,Showcase,0
"SHE IS NOT SIREN - SHE IS THE TIDE [SSC7, BRAZIL]",Group C#,84,1,2,1,0,3,2,1,3,1,1,15,"5,60",9,Showcase,0
"Nevermore [SSC7, Japan]",Group C#,80,0,2,3,2,0,1,3,1,0,2,14,"5,71",10,Showcase,0
"Dirty [SSC7, Germany]",Group C#,69,1,2,3,0,1,1,0,0,1,0,9,"7,67",11,Showcase,0
"The Real Me (I am Freaky) - [SSC7, Australia]",Group C#,65,2,0,1,1,3,0,0,1,2,1,11,"5,91",12,Showcase,0
"Existence Duality [SSC7, USA]",Group C#,64,1,1,1,1,1,0,2,4,0,1,12,"5,33",13,Showcase,0
"Cry of the Lost Star  [SSC7, Belgium]",Group C#,60,2,0,1,0,2,1,1,2,0,1,10,"6,00",14,Showcase,0
"My Emerald Queen [SSC7, AUS]",Group C#,59,0,2,1,1,2,1,0,1,2,0,10,"5,90",15,Showcase,0
"ᛋᚲᚢᚷᚷᛁ ᛚᛟᚲᛁ (Skuggi Loki) [SSC7, France]",Group C#,57,1,2,0,2,0,1,1,0,1,0,8,"7,13",16,Showcase,0
"Wake Up [SSC 7,Germany]",Group C#,55,2,0,1,0,2,0,2,0,1,1,9,"6,11",17,Showcase,0
"Witch [SSC7, Russia]",Group C#,54,1,0,2,1,1,1,0,2,1,0,9,"6,00",18,Showcase,0
"Lost\Inside [SSC7, Norway]",Group C#,51,0,2,2,0,0,2,0,1,1,0,8,"6,38",19,Showcase,0
"Who cares [SSC7, France]",Group C#,49,0,2,1,1,1,1,0,1,0,0,7,"7,00",20,Showcase,0
"Lets Be Happy  [SSC7, Venezuela]",Group C#,47,1,2,0,1,0,0,0,1,1,3,9,"5,22",21,Track save week,0
"Every Time It Rains [SSC7, USA]",Group C#,42,1,0,1,1,0,1,0,1,2,3,10,"4,20",22,Track save week,0
"ＥｎｔｅｒＬｏｏｐ[SSC7, UK]",Group C#,41,1,0,0,0,2,1,2,0,2,0,8,"5,13",23,Track save week,0
"The Silence [SSC7, Australia]",Group C#,41,1,2,0,0,1,0,0,0,1,1,6,"6,83",23,Track save week,0
"Eyes That Never Close [SSC7, Germany]",Group C#,37,0,1,0,2,1,0,1,0,1,1,7,"5,29",25,Track save week,0
"Meritokrasi Utopia (SSC7, INDONESIA)",Group C#,32,2,0,0,0,0,1,0,1,0,0,4,"8,00",26,Track save week,0
"The Last One Standing [SSC7, Sweden]",Group C#,32,0,1,1,0,0,0,3,0,1,0,6,"5,33",26,Track save week,0
"Digital Soul [SSC7, USA]",Group C#,27,1,0,0,0,1,0,0,1,2,2,7,"3,86",28,Track save week,0
"I Watched It Fall [SSC7, Brazil]",Group C#,25,0,1,0,1,0,1,0,0,0,3,6,"4,17",29,Track save week,0
"Wondering Why [SSC7, USA]",Group C#,25,0,0,0,2,0,1,0,1,0,3,7,"3,57",29,Track save week,0
"Shadow Boxing [SSC7, USA]",Group C#,21,1,0,0,0,0,0,0,1,2,2,6,"3,50",31,Track save week,0
"Tandem venit amor [SSC7, Italy]",Group C#,21,0,0,0,0,2,0,1,0,2,1,6,"3,50",31,Track save week,0
"We are the Pulse [SSC7, Germany]",Group C#,20,0,0,0,2,1,0,0,0,0,0,3,"6,67",33,Track save week,0
"LIGHT IN THE DARKNESS [SSC7, Italy]",Group C#,20,1,0,0,0,0,0,1,0,1,2,5,"4,00",33,Track save week,0
"Green Fairy [SSC7, USA]",Group C#,16,0,0,1,0,1,0,0,0,1,0,3,"5,33",35,Track save week,0
"Katran ve Yağmur [SSC7, TR]",Group C#,15,1,0,0,0,0,0,0,0,1,1,3,"5,00",36,Track save week,0
"True [SCC7, USA]",Group C#,15,0,1,0,0,0,1,0,0,0,0,2,"7,50",36,Track save week,0
"Even in Elysium [SSC7, Germany]",Group C#,13,0,0,0,0,1,0,1,1,0,0,3,"4,33",38,Track save week,0
"Skyscraper Stars of Earth [SSC7, Netherlands]",Group C#,10,0,0,0,0,0,1,0,1,0,2,4,"2,50",39,Track save week,0
"Shattered Half [SSC7, Germany]",Group D,128,1,1,4,4,2,4,1,3,0,1,21,"6,10",1,Showcase,0
"IF // THEN [SSC7, Iceland]",Group D,127,4,2,3,2,1,2,0,1,1,0,16,"7,94",2,Showcase,0
"You Shot Me [SSC7, Spain]",Group D,100,1,2,4,2,1,0,3,0,2,0,15,"6,67",3,Showcase,0
"Paper Chains [SSC7, USA]",Group D,89,3,1,1,2,1,0,2,1,2,0,13,"6,85",4,Showcase,0
"Wilting Flowers [SSC7, Canada]",Group D,84,3,0,1,1,1,1,4,1,1,1,14,"6,00",5,Showcase,0
"The Marrow Tree [SSC7, Norway]",Group D,84,1,2,2,1,2,2,0,1,2,0,13,"6,46",5,Showcase,0
"Coulda [SSC7, Netherlands]",Group D,72,2,2,0,2,2,0,0,0,0,2,10,"7,20",7,Showcase,0
"This Letter [SSC7, USA]",Group D,65,0,1,2,1,1,2,1,2,2,2,14,"4,64",8,Showcase,0
"System Fail - システム・フェイル [SSC7, Japan]",Group D,62,1,3,1,0,1,0,0,2,0,0,8,"7,75",9,Showcase,0
"Lost in My Head [SSC7, USA]",Group D,62,2,0,0,1,2,2,0,1,3,0,11,"5,64",9,Showcase,0
"I CAN (Don't GO) [SSC7, USA]",Group D,60,1,2,0,1,2,0,2,0,0,1,9,"6,67",11,Showcase,0
"Signal Bloom [SSC7, Korea]",Group D,51,0,3,0,1,0,1,1,1,1,0,8,"6,38",12,Showcase,0
"Glut, Nacht, Traum, Stimme, Licht [SSC7, Germany]",Group D,51,1,2,0,0,1,1,0,2,1,0,8,"6,38",12,Showcase,0
Madness Unleashed,Group D,49,0,2,2,1,0,0,1,0,0,2,8,"6,13",14,Showcase,0
"魅 Nymph [SSC7, China]",Group D,49,2,1,0,0,1,1,1,0,0,0,6,"8,17",14,Showcase,0
"Harmony in the Ruins [SSC7, Sweden]",Group D,47,0,1,1,1,1,1,1,0,3,1,10,"4,70",16,Showcase,0
"Etiquette Of Pain [SSC7, USA]",Group D,46,0,0,0,3,1,2,0,2,1,1,10,"4,60",17,Showcase,0
"SEE YOU NEXT TIME [SSC7, Singapore]",Group D,45,0,2,2,0,0,0,0,1,1,4,10,"4,50",18,Showcase,0
"Let Me Be Me [SSC7, USA]",Group D,42,1,0,1,1,1,0,1,1,0,2,8,"5,25",19,Showcase,0
"I Never Was [SSC7, USA]",Group D,42,0,0,1,1,1,2,1,2,0,1,9,"4,67",19,Showcase,0
"The Light That Waited Millennia [SSC7, Taiwan]",Group D,41,1,2,0,0,0,0,1,1,0,2,7,"5,86",21,Track save week,0
"Fear the Love and Love the Fear  [SSC7, Germany]",Group D,40,1,0,1,0,2,0,1,1,0,1,7,"5,71",22,Track save week,0
"【どんぐりぼうし】(Acorn Cap)   [SSC7, Japan]",Group D,39,1,0,0,1,2,0,1,0,2,0,7,"5,57",23,Track save week,0
"Eulogy To A Dead Me [SSC7, USA]",Group D,37,0,0,0,2,1,1,1,2,1,0,8,"4,63",24,Track save week,0
"The Devil's Diner [SSC7, USA]",Group D,37,1,0,1,0,1,1,1,0,0,2,7,"5,29",24,Track save week,0
"House of Spears [SSC7, Australia]",Group D,36,1,0,0,1,0,2,1,0,1,1,7,"5,14",26,Track save week,0
"Silence [SSC7, France]",Group D,35,1,0,0,1,1,0,1,0,3,0,7,"5,00",27,Track save week,0
